<span style="color:red;">Mar 27,2017 00:51:31 [Fail]  ====Failed==== "Agreement Link" field is not present'</span>
Mar 27,2017 09:59:18 [Info]  Entered "New Asset" in field 'AssetNotes TextField'
Mar 27,2017 09:59:19 [Info]  Clicked on the 'OK button'
Mar 27,2017 09:59:21 [Info]  Clicked on the 'Save Button' using JS Executor
Mar 27,2017 09:59:47 [Info]  Verify The data of Created Asset
<span style="color:green;">Mar 27,2017 09:59:47 [Verification]  Verified that Expected value :[AUT_AssetSeries_0327201795709] is matched with Actual value :[AUT_AssetSeries_0327201795709]</span>
Mar 27,2017 09:59:47 [Info]  Test 'TC1_AssetCreationTest' PASSED
Mar 27,2017 09:59:48 [Info]  Closed the Browser
Mar 27,2017 09:59:48 [Info]  *********************Started Executing 'TC2_ProgramSummary' Test Case*********************
Mar 27,2017 09:59:58 [Info]  Client: SKY
Mar 27,2017 09:59:58 [Info]  URL: http://rlv2wb85/Home.aspx
Mar 27,2017 09:59:58 [Info]  UserName: admin
Mar 27,2017 09:59:58 [Info]  Password: admin
Mar 27,2017 09:59:59 [Info]  Entered "admin" in field 'User Name'
Mar 27,2017 09:59:59 [Info]  Clicked on the 'Temporary Check Box'
Mar 27,2017 09:59:59 [Info]  Entered "admin" in field 'Password'
Mar 27,2017 10:00:12 [Info]  Clicked on the 'LoginButton'
Mar 27,2017 10:00:28 [Info]  Clicked on the 'MODULE'
Mar 27,2017 10:00:34 [Info]  Clicked on the 'Title Maintenance'
Mar 27,2017 10:00:48 [Info]  Double clicked on 'AUT_AssetSeries_0327201795709AssetName'
Mar 27,2017 10:00:48 [Info]  *******************Program Summary*******************
Mar 27,2017 10:00:51 [Info]  Verify The data of Program Summary Header
<span style="color:green;">Mar 27,2017 10:00:51 [Verification]  Verified that Expected value :[Program Summary] is matched with Actual value :[Program Summary]</span>
Mar 27,2017 10:00:51 [Info]  =====Source Id is===== 1162985
Mar 27,2017 10:01:02 [Info]  =====CastORContacts is===== No element is present on Web Page (DriverHelper.getAttribute())
Mar 27,2017 10:01:12 [Info]  =====Premier Date At ProgramSummary is===== No element is present on Web Page (DriverHelper.getAttribute())
Mar 27,2017 10:01:12 [Info]  Test 'TC2_ProgramSummary' PASSED
Mar 27,2017 10:01:12 [Info]  Closed the Browser
Mar 27,2017 10:01:12 [Info]  *********************Started Executing 'TC3_VerifyProgSum' Test Case*********************
Mar 27,2017 10:01:22 [Info]  Client: SKY
Mar 27,2017 10:01:22 [Info]  URL: http://rlv2wb85/Home.aspx
Mar 27,2017 10:01:22 [Info]  UserName: admin
Mar 27,2017 10:01:22 [Info]  Password: admin
Mar 27,2017 10:01:23 [Info]  Entered "admin" in field 'User Name'
Mar 27,2017 10:01:23 [Info]  Clicked on the 'Temporary Check Box'
Mar 27,2017 10:01:23 [Info]  Entered "admin" in field 'Password'
Mar 27,2017 10:01:37 [Info]  Clicked on the 'LoginButton'
Mar 27,2017 10:01:53 [Info]  Clicked on the 'MODULE'
Mar 27,2017 10:01:59 [Info]  Clicked on the 'Title Maintenance'
Mar 27,2017 10:02:09 [Info]  *************Checking Totals Hrs is updated with Episodes time*******************
Mar 27,2017 10:02:19 [Info]  Clicked on the 'MODULE'
Mar 27,2017 10:02:25 [Info]  Clicked on the 'Title Maintenance'
Mar 27,2017 10:02:39 [Info]  Double clicked on 'AUT_AssetSeries_0327201795709AssetName'
Mar 27,2017 10:02:49 [Info]  ======Total Hrs shown in Program Summary is===== No element is present on Web Page (DriverHelper.getAttribute())
Mar 27,2017 10:02:49 [Info]  Test 'TC3_VerifyProgSum' PASSED
Mar 27,2017 10:02:50 [Info]  Closed the Browser
Mar 27,2017 10:02:50 [Info]  *********************Started Executing 'TC4_ChangeAssetSubType' Test Case*********************
Mar 27,2017 10:03:00 [Info]  Client: SKY
Mar 27,2017 10:03:00 [Info]  URL: http://rlv2wb85/Home.aspx
Mar 27,2017 10:03:00 [Info]  UserName: admin
Mar 27,2017 10:03:00 [Info]  Password: admin
Mar 27,2017 10:03:01 [Info]  Entered "admin" in field 'User Name'
Mar 27,2017 10:03:01 [Info]  Clicked on the 'Temporary Check Box'
Mar 27,2017 10:03:01 [Info]  Entered "admin" in field 'Password'
Mar 27,2017 10:03:10 [Info]  Clicked on the 'LoginButton'
Mar 27,2017 10:03:16 [Info]  **************Started Creating Movie Asset**************
Mar 27,2017 10:03:27 [Info]  Clicked on the 'MODULE'
Mar 27,2017 10:03:33 [Info]  Clicked on the 'Title Maintenance'
Mar 27,2017 10:03:43 [Info]  Clicked on the 'New Button' using JS Executor
Mar 27,2017 10:03:52 [Info]  Clicked on the 'Program' using JS Executor
Mar 27,2017 10:04:00 [Info]  Clicked on the 'General TAB'
Mar 27,2017 10:04:00 [Info]  Selected "Program - Movie" in "AssetTypeDropDown" drop down
Mar 27,2017 10:04:01 [Info]  Entered "AUT_Assetmovie_03272017100316" in field 'AssetTitle'
Mar 27,2017 10:04:01 [Info]  Clicked on the 'SBUImage' using JS Executor
Mar 27,2017 10:04:08 [Info]  Clicked on the 'First CheckBox At SBU window'
Mar 27,2017 10:04:10 [Info]  Clicked on the 'Apply Button' using JS Executor
Mar 27,2017 10:04:10 [Info]  Entered "11:11:11" in field 'Duration'
Mar 27,2017 10:04:10 [Info]  Selected "Active" in "Asset Status" drop down
Mar 27,2017 10:04:10 [Info]  Selected "Event" in "Asset Format" drop down
Mar 27,2017 10:04:10 [Info]  Selected "License Acquired" in "Asset Source" drop down
Mar 27,2017 10:04:11 [Info]  Entered "AUT_Series" in field 'Short Name'
Mar 27,2017 10:04:11 [Info]  Clicked on the '*EPG Genre' using JS Executor
Mar 27,2017 10:04:11 [Info]  Clicked on the 'Genere Type Dropdown Image'
Mar 27,2017 10:04:11 [Info]  Clicked on the 'First Genere Type DropDown Value in the list'
Mar 27,2017 10:04:11 [Info]  Clicked on the '*EPG Sub Genre' using JS Executor
Mar 27,2017 10:04:11 [Info]  Clicked on the 'Genere Dropdown Image'
Mar 27,2017 10:04:11 [Info]  Clicked on the 'Genere Dropdown value'
Mar 27,2017 10:04:17 [Info]  Clicked on the 'Add Button of Note' using JS Executor
Mar 27,2017 10:04:19 [Info]  Entered "Medium" in field 'Asset Priority'
Mar 27,2017 10:04:19 [Info]  Entered "Subject For the Deal" in field 'Asset Subject'
Mar 27,2017 10:04:19 [Info]  Entered "New Asset" in field 'AssetNotes TextField'
Mar 27,2017 10:04:20 [Info]  Clicked on the 'OK button'
Mar 27,2017 10:04:22 [Info]  Clicked on the 'Save Button' using JS Executor
Mar 27,2017 10:04:39 [Info]  Verify The data of Created AssetAUT_Assetmovie_03272017100316
<span style="color:green;">Mar 27,2017 10:04:39 [Verification]  Verified that Expected value :[AUT_Assetmovie_03272017100316] is matched with Actual value :[AUT_Assetmovie_03272017100316]</span>
Mar 27,2017 10:04:39 [Info]  **************Changing the Asset Type from 'Program - One-Off' to 'Program - Special'**************

<span style="color:blue;"> [Manual Test Step] : TC_AM_GT_004</span>
Mar 27,2017 10:04:49 [Info]  Clicked on the 'MODULE'
Mar 27,2017 10:04:55 [Info]  Clicked on the 'Title Maintenance'
Mar 27,2017 10:05:21 [Info]  Clicked on the 'MODULE'
Mar 27,2017 10:05:27 [Info]  Clicked on the 'Title Maintenance'
Mar 27,2017 10:05:41 [Info]  Double clicked on 'AUT_Assetmovie_03272017100316AssetName'
Mar 27,2017 10:05:44 [Info]  Selected "Program - Episode" in "Asset Type" drop down
Mar 27,2017 10:05:45 [Info]  Verify The data of Validation Messge changing the Asset Type
<span style="color:green;">Mar 27,2017 10:05:45 [Verification]  Verified that Expected value :[You are changing the title subtype. Data that is not relevant to the new subtype Assignment will be deleted. You cannot undo this change.] is matched with Actual value :[You are changing the title subtype. Data that is not relevant to the new subtype Assignment will be deleted. You cannot undo this change.]</span>
Mar 27,2017 10:05:47 [Info]  Clicked on the 'Confirm Alert Ok' using JS Executor
Mar 27,2017 10:05:52 [Info]  Clicked on the 'Save Button' using JS Executor
<span style="color:green;">Mar 27,2017 10:05:53 [Verification]  Verified that Expected value :[Program - Episode] is matched with Actual value :[Program - Episode]</span>
<span style="color:green;">Mar 27,2017 10:05:53 [Verification]  Verified that the subtupe of Movie Asset: AUT_Assetmovie_03272017100316 is changed from 'Program - Movie' to 'Program - Episode' successfully</span>
Mar 27,2017 10:05:53 [Info]  Test 'TC4_ChangeAssetSubType' PASSED
Mar 27,2017 10:05:54 [Info]  Closed the Browser
Mar 27,2017 10:05:54 [Info]  *********************Started Executing 'TC5_InternalDealforSeriesassets' Test Case*********************
Mar 27,2017 10:06:03 [Info]  Client: SKY
Mar 27,2017 10:06:03 [Info]  URL: http://rlv2wb85/Home.aspx
Mar 27,2017 10:06:03 [Info]  UserName: admin
Mar 27,2017 10:06:03 [Info]  Password: admin
Mar 27,2017 10:06:04 [Info]  Entered "admin" in field 'User Name'
Mar 27,2017 10:06:04 [Info]  Clicked on the 'Temporary Check Box'
Mar 27,2017 10:06:04 [Info]  Entered "admin" in field 'Password'
Mar 27,2017 10:06:13 [Info]  Clicked on the 'LoginButton'
Mar 27,2017 10:06:20 [Info]  *****Test 'TC5_InternalDealforSeriesassets'*****: SKIPPED
Mar 27,2017 10:06:21 [Info]  Closed the Browser
Mar 27,2017 10:06:21 [Info]  *********************Started Executing 'TC6_Series_handling' Test Case*********************
Mar 27,2017 10:06:31 [Info]  Client: SKY
Mar 27,2017 10:06:31 [Info]  URL: http://rlv2wb85/Home.aspx
Mar 27,2017 10:06:31 [Info]  UserName: admin
Mar 27,2017 10:06:31 [Info]  Password: admin
Mar 27,2017 10:06:31 [Info]  Entered "admin" in field 'User Name'
Mar 27,2017 10:06:31 [Info]  Clicked on the 'Temporary Check Box'
Mar 27,2017 10:06:31 [Info]  Entered "admin" in field 'Password'
Mar 27,2017 10:06:41 [Info]  Clicked on the 'LoginButton'
Mar 27,2017 10:06:47 [Info]  ************************Started Creating Asset of Type: Program - Series************************
Mar 27,2017 10:06:57 [Info]  Clicked on the 'MODULE'
Mar 27,2017 10:07:03 [Info]  Clicked on the 'Title Maintenance'
Mar 27,2017 10:07:13 [Info]  Clicked on the 'New Button' using JS Executor
Mar 27,2017 10:07:25 [Info]  Clicked on the 'Program' using JS Executor
Mar 27,2017 10:07:33 [Info]  Clicked on the 'General TAB'
Mar 27,2017 10:07:44 [Info]  Selected "Program - Series" in "AssetTypeDropDown" drop down
Mar 27,2017 10:07:44 [Info]  Entered "AUT_AssetSeries_03272017100647" in field 'AssetTitle'
Mar 27,2017 10:07:45 [Info]  Clicked on the 'SBUImage' using JS Executor
Mar 27,2017 10:07:51 [Info]  Clicked on the 'First CheckBox At SBU window'
Mar 27,2017 10:07:53 [Info]  Clicked on the 'Apply Button' using JS Executor
Mar 27,2017 10:07:53 [Info]  Entered "11:11:11" in field 'Duration'
Mar 27,2017 10:08:04 [Info]  Selected "Active" in "Asset Status" drop down
Mar 27,2017 10:08:04 [Info]  Selected "Event" in "Asset Format" drop down
Mar 27,2017 10:08:04 [Info]  Selected "License Acquired" in "Asset Source" drop down
Mar 27,2017 10:08:04 [Info]  Entered "AUT_Series" in field 'Short Name'
Mar 27,2017 10:08:04 [Info]  Clicked on the 'Save Button' using JS Executor
Mar 27,2017 10:08:19 [Info]  Verify The data of Created AssetAUT_AssetSeries_03272017100647
<span style="color:green;">Mar 27,2017 10:08:19 [Verification]  Verified that Expected value :[AUT_AssetSeries_03272017100647] is matched with Actual value :[AUT_AssetSeries_03272017100647]</span>
Mar 27,2017 10:08:19 [Info]  ************************Created Asset of TypeProgram - Series************************
Mar 27,2017 10:08:29 [Info]  Clicked on the 'MODULE'
Mar 27,2017 10:08:35 [Info]  Clicked on the 'Title Maintenance'
Mar 27,2017 10:08:55 [Info]  Clicked on the 'MODULE'
Mar 27,2017 10:09:01 [Info]  Clicked on the 'Title Maintenance'
Mar 27,2017 10:09:21 [Info]  Double clicked on 'AUT_AssetSeries_03272017100647AssetName'

<span style="color:blue;"> [Manual Test Step] : TC_AM_GT_002</span>
Mar 27,2017 10:09:26 [Info]  Clicked on the 'Episodes TAB'
Mar 27,2017 10:09:29 [Info]  Clicked on the 'Edit Button' using JS Executor
Mar 27,2017 10:09:30 [Info]  Clicked on the 'Add Episode Button' using JS Executor
Mar 27,2017 10:09:30 [Info]  Entered "101" in field 'Add Episode Window'
Mar 27,2017 10:09:34 [Info]  Clicked on the 'OK Button' using JS Executor
Mar 27,2017 10:09:37 [Info]  Clicked on the 'Season Field of First Row' using JS Executor
Mar 27,2017 10:09:38 [Info]  Clicked on the 'Image Drop Down at 'Episode Edit Window''
Mar 27,2017 10:09:38 [Info]  Clicked on the 'Season 1'
Mar 27,2017 10:09:38 [Info]  Clicked on the 'Season Field of First Row' using JS Executor
Mar 27,2017 10:09:39 [Info]  Clicked on the 'Add Episode Button' using JS Executor
Mar 27,2017 10:09:39 [Info]  Entered "102" in field 'Add Episode Window'
Mar 27,2017 10:09:40 [Info]  Clicked on the 'OK Button' using JS Executor
Mar 27,2017 10:09:43 [Info]  Clicked on the 'Season Field of Second Row' using JS Executor
Mar 27,2017 10:09:44 [Info]  Clicked on the 'Image Drop Down at 'Episode Edit Window''
Mar 27,2017 10:09:44 [Info]  Clicked on the 'Season 1'
Mar 27,2017 10:09:54 [Info]  Clicked on the 'Save Button' using JS Executor
Mar 27,2017 10:09:58 [Info]  Clicked on the 'Close Button at Episode Window' using JS Executor

<span style="color:blue;"> [Manual Test Step] : TC_AM_GT_004</span>
Mar 27,2017 10:10:04 [Info]  Clicked on the 'General TAB'
Mar 27,2017 10:10:04 [Info]  *******changing the values in the SBU field and verify >> Save >> verify values in " Series-episodes update window" >> Select First Radio Button "All Associated Episodes" >> 
Mar 27,2017 10:10:04 [Info]  Selected "2" number's value in "SBU" drop down
Mar 27,2017 10:10:04 [Info]  Clicked on the 'Save Button' using JS Executor
Mar 27,2017 10:10:06 [Info]  Verify The data of 'AllAssociatedEpisodes' Radio button
<span style="color:green;">Mar 27,2017 10:10:06 [Verification]  Verified that Expected value :[Apply changes to all associated Episodes] is matched with Actual value :[Apply changes to all associated Episodes]</span>
Mar 27,2017 10:10:06 [Info]  Verify The data of 'Do not change Episode data' Radio Button
<span style="color:green;">Mar 27,2017 10:10:06 [Verification]  Verified that Expected value :[Do not change Episode data] is matched with Actual value :[Do not change Episode data]</span>
Mar 27,2017 10:10:06 [Info]  Verify The data of 'Apply changes to selected Episodes' Radio button
<span style="color:green;">Mar 27,2017 10:10:06 [Verification]  Verified that Expected value :[Apply changes to selected Episodes:] is matched with Actual value :[Apply changes to selected Episodes:]</span>
Mar 27,2017 10:10:06 [Info]  ************Verify Buttons at 'Series Episode Window'************
Mar 27,2017 10:10:06 [Info]  Verify The data of Select All
<span style="color:green;">Mar 27,2017 10:10:06 [Verification]  Verified that Expected value :[Select All] is matched with Actual value :[Select All]</span>
Mar 27,2017 10:10:06 [Info]  Verify The data of Ok Button
<span style="color:green;">Mar 27,2017 10:10:06 [Verification]  Verified that Expected value :[OK] is matched with Actual value :[OK]</span>
Mar 27,2017 10:10:06 [Info]  Verify The data of Cancel Button
<span style="color:green;">Mar 27,2017 10:10:06 [Verification]  Verified that Expected value :[Cancel] is matched with Actual value :[Cancel]</span>
Mar 27,2017 10:10:07 [Info]  Clicked on the 'Cancel Button at 'Series Episode Window'' using JS Executor
Mar 27,2017 10:10:07 [Info]  Clicked on the 'Save Button' using JS Executor
Mar 27,2017 10:10:07 [Info]  Clicked on the ''All Associated Episodes' Radio button at 'Series Episode Window'' using JS Executor
Mar 27,2017 10:10:16 [Info]  Clicked on the 'OK button at 'Series Episode Window'' using JS Executor
Mar 27,2017 10:10:16 [Info]  *******Changing the values in the SBU field and verify >> Save >> verify values in " Series-episodes update window" >> Select Second Radio Button "Do not change Episode data" >> 
Mar 27,2017 10:10:16 [Info]  Selected "3" number's value in "SBU" drop down
Mar 27,2017 10:10:16 [Info]  Clicked on the 'Save Button' using JS Executor
Mar 27,2017 10:10:17 [Info]  Verify The data of 'AllAssociatedEpisodes' Radio button
<span style="color:green;">Mar 27,2017 10:10:17 [Verification]  Verified that Expected value :[Apply changes to all associated Episodes] is matched with Actual value :[Apply changes to all associated Episodes]</span>
Mar 27,2017 10:10:17 [Info]  Verify The data of 'Do not change Episode data' Radio Button
<span style="color:green;">Mar 27,2017 10:10:17 [Verification]  Verified that Expected value :[Do not change Episode data] is matched with Actual value :[Do not change Episode data]</span>
Mar 27,2017 10:10:17 [Info]  Verify The data of 'Apply changes to selected Episodes' Radio button
<span style="color:green;">Mar 27,2017 10:10:17 [Verification]  Verified that Expected value :[Apply changes to selected Episodes:] is matched with Actual value :[Apply changes to selected Episodes:]</span>
Mar 27,2017 10:10:17 [Info]  ************Verify Buttons at 'Series Episode Window'************
Mar 27,2017 10:10:17 [Info]  Verify The data of Select All
<span style="color:green;">Mar 27,2017 10:10:17 [Verification]  Verified that Expected value :[Select All] is matched with Actual value :[Select All]</span>
Mar 27,2017 10:10:17 [Info]  Verify The data of Ok Button
<span style="color:green;">Mar 27,2017 10:10:17 [Verification]  Verified that Expected value :[OK] is matched with Actual value :[OK]</span>
Mar 27,2017 10:10:17 [Info]  Verify The data of Cancel Button
<span style="color:green;">Mar 27,2017 10:10:17 [Verification]  Verified that Expected value :[Cancel] is matched with Actual value :[Cancel]</span>
Mar 27,2017 10:10:17 [Info]  ****************Verify Radio buttons and OK,Select and Cancel Buttons after 'Do not change Episode data'is checked**************
Mar 27,2017 10:10:18 [Info]  Clicked on the ''Do not change Episode data' Radio Button'
Mar 27,2017 10:10:26 [Info]  Clicked on the 'OK Button' using JS Executor
Mar 27,2017 10:10:26 [Info]  *******Changing the values in the SBU field and verify >> Save >> verify values in " Series-episodes update window" >> Click Apply >> verify validation Message 
Mar 27,2017 10:10:26 [Info]  Selected "4" number's value in "SBU" drop down
Mar 27,2017 10:10:26 [Info]  Clicked on the 'Save Button' using JS Executor
Mar 27,2017 10:10:27 [Info]  Verify The data of 'AllAssociatedEpisodes' Radio button
<span style="color:green;">Mar 27,2017 10:10:27 [Verification]  Verified that Expected value :[Apply changes to all associated Episodes] is matched with Actual value :[Apply changes to all associated Episodes]</span>
Mar 27,2017 10:10:27 [Info]  Verify The data of 'Do not change Episode data' Radio Button
<span style="color:green;">Mar 27,2017 10:10:27 [Verification]  Verified that Expected value :[Do not change Episode data] is matched with Actual value :[Do not change Episode data]</span>
Mar 27,2017 10:10:27 [Info]  Verify The data of 'Apply changes to selected Episodes' Radio button
<span style="color:green;">Mar 27,2017 10:10:27 [Verification]  Verified that Expected value :[Apply changes to selected Episodes:] is matched with Actual value :[Apply changes to selected Episodes:]</span>
Mar 27,2017 10:10:27 [Info]  ************Verify Buttons at 'Series Episode Window'************
Mar 27,2017 10:10:27 [Info]  Verify The data of Select All
<span style="color:green;">Mar 27,2017 10:10:27 [Verification]  Verified that Expected value :[Select All] is matched with Actual value :[Select All]</span>
Mar 27,2017 10:10:27 [Info]  Verify The data of Ok Button
<span style="color:green;">Mar 27,2017 10:10:27 [Verification]  Verified that Expected value :[OK] is matched with Actual value :[OK]</span>
Mar 27,2017 10:10:27 [Info]  Verify The data of Cancel Button
<span style="color:green;">Mar 27,2017 10:10:27 [Verification]  Verified that Expected value :[Cancel] is matched with Actual value :[Cancel]</span>
Mar 27,2017 10:10:28 [Info]  Clicked on the 'OK Button' using JS Executor
Mar 27,2017 10:10:28 [Info]  Verify The data of Alert Msg at SBU window
<span style="color:green;">Mar 27,2017 10:10:28 [Verification]  Verified that Expected value :[Please select at least one item from the tree before clicking on the OK button.] is matched with Actual value :[Please select at least one item from the tree before clicking on the OK button.]</span>
Mar 27,2017 10:10:28 [Info]  Clicked on the 'OK Button at Alert' using JS Executor
Mar 27,2017 10:10:29 [Info]  Clicked on the 'Episodes 002'
